ts,meter_serial,import_kwh,export_kwh
2026-01-01 00:30:00,BESS_01,0.0,1.446
2026-01-01 00:30:00,BESS_02,0.0,2.473
2026-01-01 00:30:00,BESS_03,0.0,2.353
2026-01-01 00:30:00,BESS_04,0.0,2.784
2026-01-01 00:30:00,SOLAR_01,0.0,2.348
2026-01-01 00:30:00,SOLAR_02,0.0,3.688
2026-01-01 00:30:00,SOLAR_03,0.0,2.119
2026-01-01 00:30:00,SOLAR_04,0.0,2.875
2026-01-01 00:30:00,SELF_01,1.758,0.0
2026-01-01 00:30:00,GRID_01,0.0,18.328
2026-01-01 00:30:00,DEST_01,17.963,0.0
2026-01-01 01:00:00,BESS_01,0.0,2.844
2026-01-01 01:00:00,BESS_02,0.0,4.773
2026-01-01 01:00:00,BESS_03,0.0,4.443
2026-01-01 01:00:00,BESS_04,0.0,4.225
2026-01-01 01:00:00,SOLAR_01,0.0,6.705
2026-01-01 01:00:00,SOLAR_02,0.0,8.925
2026-01-01 01:00:00,SOLAR_03,0.0,4.145
2026-01-01 01:00:00,SOLAR_04,0.0,8.098
2026-01-01 01:00:00,SELF_01,3.805,0.0
2026-01-01 01:00:00,GRID_01,0.0,40.353
2026-01-01 01:00:00,DEST_01,39.548,0.0
2026-01-01 01:30:00,BESS_01,0.0,4.155
2026-01-01 01:30:00,BESS_02,0.0,7.687
2026-01-01 01:30:00,BESS_03,0.0,6.116
2026-01-01 01:30:00,BESS_04,0.0,5.411
2026-01-01 01:30:00,SOLAR_01,0.0,9.092
2026-01-01 01:30:00,SOLAR_02,0.0,14.315
2026-01-01 01:30:00,SOLAR_03,0.0,8.56
2026-01-01 01:30:00,SOLAR_04,0.0,13.326
2026-01-01 01:30:00,SELF_01,5.9,0.0
2026-01-01 01:30:00,GRID_01,0.0,62.763
2026-01-01 01:30:00,DEST_01,61.509,0.0
2026-01-01 02:00:00,BESS_01,0.0,7.101
2026-01-01 02:00:00,BESS_02,0.0,9.444
2026-01-01 02:00:00,BESS_03,0.0,8.221
2026-01-01 02:00:00,BESS_04,0.0,8.07
2026-01-01 02:00:00,SOLAR_01,0.0,13.566
2026-01-01 02:00:00,SOLAR_02,0.0,19.762
2026-01-01 02:00:00,SOLAR_03,0.0,12.869
2026-01-01 02:00:00,SOLAR_04,0.0,18.145
2026-01-01 02:00:00,SELF_01,6.969,0.0
2026-01-01 02:00:00,GRID_01,0.0,90.209
2026-01-01 02:00:00,DEST_01,88.408,0.0
2026-01-01 02:30:00,BESS_01,0.0,8.68
2026-01-01 02:30:00,BESS_02,0.0,10.604
2026-01-01 02:30:00,BESS_03,0.0,9.686
2026-01-01 02:30:00,BESS_04,0.0,9.272
2026-01-01 02:30:00,SOLAR_01,0.0,16.678
2026-01-01 02:30:00,SOLAR_02,0.0,24.305
2026-01-01 02:30:00,SOLAR_03,0.0,16.329
2026-01-01 02:30:00,SOLAR_04,0.0,21.625
2026-01-01 02:30:00,SELF_01,8.283,0.0
2026-01-01 02:30:00,GRID_01,0.0,108.895
2026-01-01 02:30:00,DEST_01,106.722,0.0
2026-01-01 03:00:00,BESS_01,0.0,11.553
2026-01-01 03:00:00,BESS_02,0.0,12.9
2026-01-01 03:00:00,BESS_03,0.0,11.904
2026-01-01 03:00:00,BESS_04,0.0,10.614
2026-01-01 03:00:00,SOLAR_01,0.0,21.594
2026-01-01 03:00:00,SOLAR_02,0.0,26.959
2026-01-01 03:00:00,SOLAR_03,0.0,19.847
2026-01-01 03:00:00,SOLAR_04,0.0,27.583
2026-01-01 03:00:00,SELF_01,10.243,0.0
2026-01-01 03:00:00,GRID_01,0.0,132.711
2026-01-01 03:00:00,DEST_01,130.061,0.0
2026-01-01 03:30:00,BESS_01,0.0,13.923
2026-01-01 03:30:00,BESS_02,0.0,15.586
2026-01-01 03:30:00,BESS_03,0.0,14.456
2026-01-01 03:30:00,BESS_04,0.0,12.072
2026-01-01 03:30:00,SOLAR_01,0.0,23.723
2026-01-01 03:30:00,SOLAR_02,0.0,30.22
2026-01-01 03:30:00,SOLAR_03,0.0,22.918
2026-01-01 03:30:00,SOLAR_04,0.0,30.427
2026-01-01 03:30:00,SELF_01,12.657,0.0
2026-01-01 03:30:00,GRID_01,0.0,150.667
2026-01-01 03:30:00,DEST_01,147.656,0.0
2026-01-01 04:00:00,BESS_01,0.0,15.552
