meter_id,time_stamp,record_status,total_energy_tot_imp_wh,total_energy_tot_exp_wh,total_energy_tot_imp_va,total_energy_tot_exp_va
BESS_01,2026-01-01 00:30:00,0,0.0,1.446,0,0
BESS_02,2026-01-01 00:30:00,0,0.0,2.473,0,0
BESS_03,2026-01-01 00:30:00,0,0.0,2.353,0,0
BESS_04,2026-01-01 00:30:00,0,0.0,2.784,0,0
SOLAR_01,2026-01-01 00:30:00,0,0.0,2.348,0,0
SOLAR_02,2026-01-01 00:30:00,0,0.0,3.688,0,0
SOLAR_03,2026-01-01 00:30:00,0,0.0,2.119,0,0
SOLAR_04,2026-01-01 00:30:00,0,0.0,2.875,0,0
SELF_01,2026-01-01 00:30:00,0,1.758,0.0,0,0
GRID_01,2026-01-01 00:30:00,0,0.0,18.328,0,0
DEST_01,2026-01-01 00:30:00,0,17.963,0.0,0,0
BESS_01,2026-01-01 01:00:00,0,0.0,2.844,0,0
BESS_02,2026-01-01 01:00:00,0,0.0,4.773,0,0
BESS_03,2026-01-01 01:00:00,0,0.0,4.443,0,0
BESS_04,2026-01-01 01:00:00,0,0.0,4.225,0,0
SOLAR_01,2026-01-01 01:00:00,0,0.0,6.705,0,0
SOLAR_02,2026-01-01 01:00:00,0,0.0,8.925,0,0
SOLAR_03,2026-01-01 01:00:00,0,0.0,4.145,0,0
SOLAR_04,2026-01-01 01:00:00,0,0.0,8.098,0,0
SELF_01,2026-01-01 01:00:00,0,3.805,0.0,0,0
GRID_01,2026-01-01 01:00:00,0,0.0,40.353,0,0
DEST_01,2026-01-01 01:00:00,0,39.548,0.0,0,0
BESS_01,2026-01-01 01:30:00,0,0.0,4.155,0,0
BESS_02,2026-01-01 01:30:00,0,0.0,7.687,0,0
BESS_03,2026-01-01 01:30:00,0,0.0,6.116,0,0
BESS_04,2026-01-01 01:30:00,0,0.0,5.411,0,0
SOLAR_01,2026-01-01 01:30:00,0,0.0,9.092,0,0
SOLAR_02,2026-01-01 01:30:00,0,0.0,14.315,0,0
SOLAR_03,2026-01-01 01:30:00,0,0.0,8.56,0,0
SOLAR_04,2026-01-01 01:30:00,0,0.0,13.326,0,0
SELF_01,2026-01-01 01:30:00,0,5.9,0.0,0,0
GRID_01,2026-01-01 01:30:00,0,0.0,62.763,0,0
DEST_01,2026-01-01 01:30:00,0,61.509,0.0,0,0
BESS_01,2026-01-01 02:00:00,0,0.0,7.101,0,0
BESS_02,2026-01-01 02:00:00,0,0.0,9.444,0,0
BESS_03,2026-01-01 02:00:00,0,0.0,8.221,0,0
BESS_04,2026-01-01 02:00:00,0,0.0,8.07,0,0
SOLAR_01,2026-01-01 02:00:00,0,0.0,13.566,0,0
SOLAR_02,2026-01-01 02:00:00,0,0.0,19.762,0,0
SOLAR_03,2026-01-01 02:00:00,0,0.0,12.869,0,0
SOLAR_04,2026-01-01 02:00:00,0,0.0,18.145,0,0
SELF_01,2026-01-01 02:00:00,0,6.969,0.0,0,0
GRID_01,2026-01-01 02:00:00,0,0.0,90.209,0,0
DEST_01,2026-01-01 02:00:00,0,88.408,0.0,0,0
BESS_01,2026-01-01 02:30:00,0,0.0,8.68,0,0
BESS_02,2026-01-01 02:30:00,0,0.0,10.604,0,0
BESS_03,2026-01-01 02:30:00,0,0.0,9.686,0,0
BESS_04,2026-01-01 02:30:00,0,0.0,9.272,0,0
SOLAR_01,2026-01-01 02:30:00,0,0.0,16.678,0,0
SOLAR_02,2026-01-01 02:30:00,0,0.0,24.305,0,0
SOLAR_03,2026-01-01 02:30:00,0,0.0,16.329,0,0
SOLAR_04,2026-01-01 02:30:00,0,0.0,21.625,0,0
SELF_01,2026-01-01 02:30:00,0,8.283,0.0,0,0
GRID_01,2026-01-01 02:30:00,0,0.0,108.895,0,0
DEST_01,2026-01-01 02:30:00,0,106.722,0.0,0,0
BESS_01,2026-01-01 03:00:00,0,0.0,11.553,0,0
BESS_02,2026-01-01 03:00:00,0,0.0,12.9,0,0
BESS_03,2026-01-01 03:00:00,0,0.0,11.904,0,0
BESS_04,2026-01-01 03:00:00,0,0.0,10.614,0,0
SOLAR_01,2026-01-01 03:00:00,0,0.0,21.594,0,0
SOLAR_02,2026-01-01 03:00:00,0,0.0,26.959,0,0
SOLAR_03,2026-01-01 03:00:00,0,0.0,19.847,0,0
SOLAR_04,2026-01-01 03:00:00,0,0.0,27.583,0,0
SELF_01,2026-01-01 03:00:00,0,10.243,0.0,0,0
GRID_01,2026-01-01 03:00:00,0,0.0,132.711,0,0
DEST_01,2026-01-01 03:00:00,0,130.061,0.0,0,0
BESS_01,2026-01-01 03:30:00,0,0.0,13.923,0,0
BESS_02,2026-01-01 03:30:00,0,0.0,15.586,0,0
BESS_03,2026-01-01 03:30:00,0,0.0,14.456,0,0
BESS_04,2026-01-01 03:30:00,0,0.0,12.072,0,0
SOLAR_01,2026-01-01 03:30:00,0,0.0,23.723,0,0
SOLAR_02,2026-01-01 03:30:00,0,0.0,30.22,0,0
SOLAR_03,2026-01-01 03:30:00,0,0.0,22.918,0,0
SOLAR_04,2026-01-01 03:30:00,0,0.0,30.427,0,0
SELF_01,2026-01-01 03:30:00,0,12.657,0.0,0,0
GRID_01,2026-01-01 03:30:00,0,0.0,150.667,0,0
DEST_01,2026-01-01 03:30:00,0,147.656,0.0,0,0
BESS_01,2026-01-01 04:00:00,0,0.0,15.552,0,0
BESS_02,2026-01-01 04:00:00,0,0.0,17.896,0,0
BESS_03,2026-01-01 04:00:00,0,0.0,16.248,0,0
BESS_04,2026-01-01 04:00:00,0,0.0,14.901,0,0
SOLAR_01,2026-01-01 04:00:00,0,0.0,27.558,0,0
SOLAR_02,2026-01-01 04:00:00,0,0.0,33.28,0,0
SOLAR_03,2026-01-01 04:00:00,0,0.0,25.904,0,0
SOLAR_04,2026-01-01 04:00:00,0,0.0,34.673,0,0
SELF_01,2026-01-01 04:00:00,0,14.051,0.0,0,0
GRID_01,2026-01-01 04:00:00,0,0.0,171.961,0,0
DEST_01,2026-01-01 04:00:00,0,168.523,0.0,0,0
BESS_01,2026-01-01 04:30:00,0,0.0,18.348,0,0
BESS_02,2026-01-01 04:30:00,0,0.0,19.695,0,0
BESS_03,2026-01-01 04:30:00,0,0.0,17.686,0,0
BESS_04,2026-01-01 04:30:00,0,0.0,17.896,0,0
SOLAR_01,2026-01-01 04:30:00,0,0.0,31.596,0,0
SOLAR_02,2026-01-01 04:30:00,0,0.0,35.644,0,0
SOLAR_03,2026-01-01 04:30:00,0,0.0,28.093,0,0
SOLAR_04,2026-01-01 04:30:00,0,0.0,37.111,0,0
SELF_01,2026-01-01 04:30:00,0,15.992,0.0,0,0
GRID_01,2026-01-01 04:30:00,0,0.0,190.076,0,0
DEST_01,2026-01-01 04:30:00,0,186.275,0.0,0,0
BESS_01,2026-01-01 05:00:00,0,0.0,20.192,0,0
BESS_02,2026-01-01 05:00:00,0,0.0,20.822,0,0
BESS_03,2026-01-01 05:00:00,0,0.0,19.45,0,0
BESS_04,2026-01-01 05:00:00,0,0.0,20.888,0,0
SOLAR_01,2026-01-01 05:00:00,0,0.0,35.713,0,0
SOLAR_02,2026-01-01 05:00:00,0,0.0,41.528,0,0
SOLAR_03,2026-01-01 05:00:00,0,0.0,33.536,0,0
SOLAR_04,2026-01-01 05:00:00,0,0.0,39.157,0,0
SELF_01,2026-01-01 05:00:00,0,18.074,0.0,0,0
GRID_01,2026-01-01 05:00:00,0,0.0,213.212,0,0
DEST_01,2026-01-01 05:00:00,0,208.947,0.0,0,0
BESS_01,2026-01-01 05:30:00,0,0.0,22.266,0,0
BESS_02,2026-01-01 05:30:00,0,0.0,22.356,0,0
BESS_03,2026-01-01 05:30:00,0,0.0,21.731,0,0
